"Catalog New Products List","Katalog ny produktlista"
"Notify Low Stock RSS","RSS-kanal för meddelanden om artiklar som håller på att ta slut i lager"
"Home","Hem"
"Delete Selected Group","Ta bort vald grupp"
"Approved","Godkänd"
"This attribute cannot be updated.","Attributet kan inte uppdateras."
"Invalid category IDs.","Ogiltiga kategori ID."
"Change","Ändra"
"A name is required","Ett namn är obligatoriskt"
"Records for ""","Poster för """
"Enable Qty Increments","Aktivera steg för antal"
"Price:","Pris:"
"Link (Related, Up sell, Cross sell)","Länk (Relaterad, Uppsälj, Korssälj)"
"Create Permanent Redirect for old URL","Skapa 301 redirect för gammal URL"
"products","produkter"
"New Search","Ny sökning"
"General Information","Allmän information"
"Catalog Category (Anchor)","Katalogkateori (ankare)"
"Use Config Settings","Använd inställningar för konfiguration"
"Default Values","Förvalda värden"
"An error occurred while trying to delete the category.","Ett fel uppstod när kategorin försöktes tas bort."
"The search was deleted.","Söken har tagits bort."
"Category Link Block Template","Kategorilänk blockmall"
"# of Use","Använt antal"
"Virtual Product","Virtuell Produkt"
"Show Tags","Visa etiketter"
"Attribute ""%s"" is required.","Attribut ""%s"" är obligatoriskt."
"Top/Right","Överst/höger"
"Retrieve categories tree","Hämta kategoriträd"
"Add New Row","Lägg till ny rad"
"Store View","Butiksvy"
"Product In Websites","Produkt på webbplatser"
"Manage Stock","Hantera lager"
"Save Attribute Set","Spara attributmängd"
"Option:","Alternativ:"
"Image does not exist.","Bild finns inte."
"Products only","Endast produkter"
"Display in Suggested Terms","Visa i föreslagna termer"
"Please specify the product required option(s)","Vänligen ange produktens obligatoriska val"
"Invalid store specified, skipping the record.","Ogiltig butik specificerad, hoppar över rad."
"Close Window","Stäng fönstret"
"Yes","Ja"
"Failed","Misslyckades"
"Best Value","Placering"
"Up-sells","Merförsäljning"
"Custom Design","Anpassad design"
"All Websites","Alla webbsidor"
"The email template is not specified by administrator.","E-postmallen är inte angiven av administratorn."
"Product types API","API Produkttyper"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Använd statiska webbadresser för medieinnehåll i WYSIWYG för katalog"
"Selected configuration is not available.","Vald konfiguration är ej tillgänglig."
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Vänligen ladda om ""Katalog URL omskrivningar"" och ""Produktattribute"" i System -> <a href=""%s"">Index hanteraren</a>"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Applicera endast på produkter och kategorier. Mediainnehåll kommer att läggas till i editorn som en statisk URL. Det är inte uppdaterat om bas URL:en ändras."
"This attribute cannot be deleted.","Detta attribut kan inte tas bort."
"Category move operation is not possible: the new parent category was not found.","Operation för att flytta kategori är inte möjligt: den nya kategorin kunde inte hittas."
"-- Please Select --","-- Vänligen välj --"
"Watermark Position","Placering av vattenmärke"
"Skipping import row, store ""%s"" field does not exist.","Hoppar över importrad, fältet för butik ""%s"" finns inte."
"Attrribute names can be specified per store.","Attributnamn kan specificeras per butik."
"URL Rewrite Management","Hantera URL-omskrivningar"
"Retrieve product attribute sets","Hämta produktattributmängder"
"Add Tax","Lägg till skatt"
"Template","Mall"
"Product Tags","Produktetiketter"
"Maximum image width","Maximal bildbredd"
"Search Information","Information om sökning"
"Out of stock","Slut i lager"
"Index product prices","Index för produktpriser"
"Qty","Antal"
"Edit Attribute Set '%s'","Redigera attributmängden '%s'"
"Position","Placering"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Produkter som du vill dölja i katalogen eller i sökresultaten bör ha statusen 'Inaktiv' i önskad butik."
"Conditions Combination","Kombinera villkor"
"Zoom In","Zooma in"
"N/A","-"
"Filterable (with results)","Filtrerbar (med resultat)"
"Buy %1$s for %2$s each","Köp %1$s för %2$s st"
"Update product","Uppdatera produkt"
"Data Type for Saving in Database","Datatyp för sparningar i databas"
"An error occurred while adding customers for the %s alert. Message: %s","Ett fel uppstod när kunder för %s registrerades. Meddelande: %s"
"The product attribute has been deleted.","Produktattributet har tagits bort."
"Catalog Seo Sitemap (Common)","Katalog SEO Sitemap (Gemensam)"
"Use in Layered Navigation","Använd i lagerbaserad navigation"
"Set special price","Ange specialpris"
"Assign","Tilldela"
"This group contains system attributes. Please move system attributes to another group and try again.","Denna grupp innehåller systemattribut. Vänligen flytta systemattributen till en annan grupp och försök igen."
"Remove product assignment","Ta bort produktrelation"
"Source Model","Källmodell"
"Product Attributes","Produktattribut"
"Manage Catalog Categories","Hantera katalogkategorier"
"None","Inga"
"Grouped Product","Grupperad produkt"
"Catalog Product Compare List","Produktkatalog jämförlista"
"Delete Row","Ta bort rad"
"Select type of option","Välj typ av val"
"Please click on the Close Window button if it is not closed automatically.","Var god klicka på ""Stäng fönster"" om fönstret inte automatiskt stängs ner."
"Invalid attribute set specified, skipping the record.","Ogiltig attributmängd, hoppar över posten."
"Quick simple product creation","Snabbskapa enkel produkt"
"Email to %s was not sent.","E-post till %s har inte skickats."
"Price Type","Pristyp"
"Line %d, Email: %s","Rad %d, E-post: %s"
"Create (Upload)","Skapa (Ladda upp)"
"leave blank if its not an image","Lämna tomt om det inte är en bild"
"New Root Category","Ny rootkategori"
"Frontend","Kunddelen"
"Cannot create writeable directory '%s'.","Kan inte skapa skrivbar mapp '%s'."
"Use Canonical Link Meta Tag For Products","Använd canonical URL:ar för produkter."
"Default Price Navigation Step","Standard steg i prisnavigation"
"An error occurred while saving the search query.","Ett fel uppstod medan sökfrågan sparades."
"The review has been saved.","Översikten har sparats."
"Category","Kategori"
"Visible","Synlig"
"Site Map","Webbkarta"
"Attribute ""%s"" is invalid.","Attribut ""%s"" är ogiltigt."
"To reindex the enabled product(s), the store or product must be specified.","För att reindexera de aktiverade produkterna, måste butiken eller produkterna vara specificerade."
"Retrieve attribute list","Hämta attributlista"
"Add New Images","Lägg till nya bilder"
"Stock Availability","Lagersaldo"
"Product Images API","Produktbild API"
"Manage Product Sets","Hantera produktmängder"
"Save Attribute","Spara attribut"
"Option validation failed to add product to cart.","Alternativ valideringen misslyckades med att lägga produkten i varukorgen."
"Image","Bild"
"Products Reviews","Produktrecensioner"
"Disabled","Inaktiverad"
"Invalid store specified","Ogiltig butik har angetts"
"Choose an Option...","Välj ett alternativ..."
"Add Attribute","Lägg till attribut"
"Year Range","Valbart år-intervall"
"Expand All","Expandera alla"
"Backorders","Utestående beställningar"
"Unknown attribute: %s.","Okänt attribut: %s"
"Retrieve products list by filters","Hämta produktlista via filter"
"All Product Types","Alla produkttyper"
"The category has been saved.","Kategorin har sparats"
"Product collection expected.","Produktkollektion förväntas."
"Please specify the product's option(s).","Vänligen ange produktens alternativ."
"Prices", "Priser"
"Apply MAP", "Applicera minsta annonspris"
"Please specify the product option(s)", "Vänligen ange produktens obligatoriska val"
"Choose option...", "Välj ett alternativ..." 
"General", "Allmänt"
"Images", "Bilder"
"Qty for Item's Status to Become Out of Stock", "Antal för att lagersaldo ska bli ""Slut i lager"""
"Base Image", "Huvudbild"
"General", "Allmänt"
"Allow Dynamic Media URLs in Products and Categories", "Tillåt dynamiska media URL:ar i produkter och kategorier"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.", "T.ex: {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}."
"Base Image", "Huvudbild"
"Small Image", "Liten bild"
"Thumbnail", "Tumnagelbild"
"Display Product Count", "Visa antal"
"Create Permanent Redirect for URLs if URL Key Changed", "Skapa 301 redirect för URL:ar vars URL-key ändras"
